% Module: Scope, ID: c0p1t8p1cfm0
% Device: DEV7225
% Time: 2026/04/09 21:55:11
% Wave Channel 1, /dev7225/scopes/0/wave.0BWN
% Wave Channel 2, /dev7225/scopes/0/wave.1BWN
% Frequency (Hz); Wave Channel 1  Spectral Density (V/√Hz); Wave Channel 2  Spectral Density (V/√Hz)
143.9449425793789; 2.04618686439e-06; 
144.3919765625447; 2.31795343097e-06; 
144.8390105457105; 3.14746307595e-06; 
145.2860445288763; 2.93867401524e-06; 
145.733078512042; 3.69258009414e-06; 
146.1801124952078; 2.90076559395e-06; 
146.6271464783736; 2.99464386444e-06; 
147.0741804615394; 4.43003864348e-06; 
147.5212144447051; 3.82735970561e-06; 
147.9682484278709; 2.87763327833e-06; 
148.4152824110367; 2.9318828183e-06; 
148.8623163942024; 3.43698252436e-06; 
149.3093503773682; 4.08781988881e-06; 
149.756384360534; 4.63667038275e-06; 
150.2034183436998; 5.15615965924e-06; 
150.6504523268655; 4.38760707766e-06; 
151.0974863100313; 1.96387895812e-06; 
151.5445202931971; 3.27402949551e-06; 
151.9915542763628; 2.25298208534e-06; 
152.4385882595286; 2.47354637395e-06; 
152.8856222426944; 5.20730600329e-06; 
153.3326562258602; 3.75329636881e-06; 
153.7796902090259; 2.41762177211e-06; 
154.2267241921917; 4.85883265355e-06; 
154.6737581753575; 2.89356489702e-06; 
155.1207921585233; 7.05578656834e-07; 
155.567826141689; 2.53556390817e-06; 
156.0148601248548; 4.30926638728e-06; 
156.4618941080206; 3.85124712921e-06; 
156.9089280911863; 2.64719142251e-06; 
157.3559620743521; 3.15824809149e-06; 
157.8029960575179; 3.96608857045e-06; 
158.2500300406837; 2.20835818254e-06; 
158.6970640238494; 3.97420399167e-06; 
159.1440980070152; 4.34191588283e-06; 
159.591131990181; 4.783128702e-07; 
160.0381659733468; 1.57865258643e-06; 
160.4851999565125; 2.2732524485e-06; 
160.9322339396783; 1.38682810302e-06; 
161.3792679228441; 1.80735105459e-06; 
161.8263019060099; 2.91778837891e-06; 
162.2733358891756; 2.37690892391e-06; 
162.7203698723414; 2.66750839728e-06; 
163.1674038555072; 2.4666162517e-06; 
163.614437838673; 2.77333265331e-06; 
164.0614718218387; 3.86483998227e-06; 
164.5085058050045; 3.93444724978e-06; 
164.9555397881703; 5.47836043552e-06; 
165.4025737713361; 1.03887282421e-06; 
165.8496077545018; 3.83577980756e-06; 
166.2966417376676; 2.04448065233e-06; 
166.7436757208334; 3.71844089386e-06; 
167.1907097039991; 3.70861789634e-06; 
167.6377436871649; 8.9967193162e-07; 
168.0847776703307; 3.48516277882e-06; 
168.5318116534964; 5.98068072577e-06; 
168.9788456366622; 3.25567339132e-06; 
169.425879619828; 2.74631588582e-06; 
169.8729136029938; 2.16681269194e-06; 
170.3199475861595; 1.61162608947e-06; 
170.7669815693253; 2.19166031457e-06; 
171.2140155524911; 1.28420151668e-06; 
171.6610495356569; 3.74081332666e-06; 
172.1080835188226; 6.31250259175e-06; 
172.5551175019884; 5.88963439441e-06; 
173.0021514851542; 3.7715851704e-06; 
173.44918546832; 2.2514268494e-06; 
173.8962194514857; 5.75438946271e-07; 
174.3432534346515; 1.36067740186e-06; 
174.7902874178173; 1.29974353058e-06; 
175.2373214009831; 2.7356161354e-06; 
175.6843553841488; 3.85874545827e-06; 
176.1313893673146; 2.16882835957e-06; 
176.5784233504804; 2.78933498521e-06; 
177.0254573336461; 3.04355444314e-06; 
177.4724913168119; 1.40849658692e-06; 
177.9195252999777; 2.21007326218e-06; 
178.3665592831435; 2.42714554588e-06; 
178.8135932663092; 7.64043704748e-07; 
179.260627249475; 1.07735331767e-06; 
179.7076612326408; 4.32934348282e-06; 
180.1546952158066; 4.68947746413e-06; 
180.6017291989723; 5.21984588886e-07; 
181.0487631821381; 2.6381301268e-06; 
181.4957971653039; 1.88347974017e-06; 
181.9428311484697; 5.65958089283e-07; 
182.3898651316354; 3.42072303283e-06; 
182.8368991148012; 3.01025147564e-06; 
183.283933097967; 2.31503850046e-06; 
183.7309670811327; 1.08715653369e-06; 
184.1780010642985; 1.77883384822e-06; 
184.6250350474643; 3.16141995427e-06; 
185.07206903063; 2.1920150175e-06; 
185.5191030137958; 1.63776155659e-06; 
185.9661369969616; 3.99306372856e-06; 
186.4131709801274; 2.26733459385e-06; 
186.8602049632931; 1.33102116706e-06; 
187.3072389464589; 1.99998294192e-06; 
187.7542729296247; 4.32324623034e-06; 
188.2013069127905; 4.92939534524e-06; 
188.6483408959562; 3.92763286072e-06; 
189.095374879122; 2.70944087788e-06; 
189.5424088622878; 2.55533586824e-06; 
189.9894428454536; 2.3655811674e-06; 
190.4364768286193; 3.52936172021e-06; 
190.8835108117851; 4.09666699852e-06; 
191.3305447949509; 3.58375814358e-06; 
191.7775787781167; 3.80374194719e-06; 
192.2246127612824; 7.69980630366e-08; 
192.6716467444482; 2.47108846452e-06; 
193.118680727614; 9.35217542519e-07; 
193.5657147107798; 1.20570177842e-06; 
194.0127486939455; 3.06399442707e-06; 
